tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2009-339,Brisbane,Hard,32,250,O,20090104,1,104547,,,Teymuraz Gabashvili,R,185,GEO,23.619,65,715,104597,,,Ilija Bozoljac,R,193,SRB,23.425,141,495,4-6 6-3 6-4,3,Q1,134,14,4,95,58,42,18,17,4,6,6,5,102,64,38,20,15,5,8
2009-339,Brisbane,Hard,32,250,O,20090104,2,104014,,,Bobby Reynolds,R,183,USA,26.47,82,604,103848,,,Mikhail Elgin,R,183,RUS,27.225,160,379,4-6 6-2 6-3,3,Q1,118,8,3,88,54,40,16,14,3,5,4,6,92,58,35,18,17,4,7
2009-339,Brisbane,Hard,32,250,O,20090104,3,105023,3,,Mischa Zverev,L,191,GER,21.372,80,610,104112,,,Giovanni Lapentti,R,193,ECU,25.944,213,241,6-3 6-4,3,Q1,82,6,2,62,40,31,12,10,1,2,3,4,68,42,26,10,9,2,5
2009-339,Brisbane,Hard,32,250,O,20090104,4,105057,4,,Thomaz Bellucci,L,188,BRA,21.016,85,580,104918,,,Carsten Ball,L,198,AUS,21.544,203,254,6-4 6-3,3,Q1,76,5,3,58,35,28,12,9,1,2,4,2,64,38,22,11,10,3,6
2009-339,Brisbane,Hard,32,250,O,20090104,5,103429,,,Peter Luczak,R,183,AUS,29.347,156,389,105001,5,,Andrey Golubev,R,180,KAZ,21.457,89,555,6-3 6-1,3,Q1,64,3,1,48,29,24,10,8,0,0,2,4,52,30,16,8,7,4,8
2009-339,Brisbane,Hard,32,250,O,20090104,6,104162,6,,Gilles Muller,L,193,LUX,25.659,95,532,104332,,,Colin Ebelthite,R,,AUS,24.104,242,210,6-7(3) 6-4 6-4,3,Q1,142,18,2,115,72,55,22,16,2,3,5,6,108,65,42,18,17,3,7
2009-339,Brisbane,Hard,32,250,O,20090104,7,104010,,,Amer Delic,R,196,BIH,26.516,138,410,104576,7,,Chris Guccione,L,201,AUS,23.433,135,515,6-4 7-5,3,Q1,94,12,1,78,48,38,15,12,1,2,5,3,82,51,34,14,11,2,5
2009-339,Brisbane,Hard,32,250,O,20090104,8,104745,8,,Kevin Anderson,R,203,RSA,22.634,104,510,105436,,,Greg Jones,R,193,AUS,19.926,305,152,7-6(3) 6-4,3,Q1,98,15,2,82,52,42,16,14,1,2,3,4,88,54,35,18,17,2,5
2009-339,Brisbane,Hard,32,250,O,20090104,9,104172,,,Marco Crugnola,R,188,ITA,25.618,189,286,110001,,,Mark Verryth,,,,,,,6-4 6-4,3,Q1,88,4,2,65,42,31,14,10,2,3,3,4,72,45,26,11,10,2,5
2009-339,Brisbane,Hard,32,250,O,20090104,10,104300,,,Luka Gregorc,R,188,SLO,24.89,171,335,104593,,,Jesse Huta Galung,R,,NED,23.247,175,322,6-4 6-4,3,Q1,84,6,3,68,44,32,15,11,2,3,3,5,75,48,28,12,10,2,5
2009-339,Brisbane,Hard,32,250,O,20090104,11,105041,,,Sam Groth,R,193,AUS,21.213,275,182,104417,,,Frank Dancevic,R,185,CAN,24.274,131,440,6-3 7-6(1),3,Q1,92,16,5,76,48,40,14,11,1,2,5,3,84,52,34,12,11,2,5
2009-339,Brisbane,Hard,32,250,O,20090104,12,105062,,,Evgeny Korolev,R,185,KAZ,20.89,113,495,104771,,,Martin Fischer,R,180,AUT,22.459,252,198,6-2 6-1,3,Q1,58,4,1,45,28,23,10,8,0,0,1,3,48,29,14,8,8,4,8
2009-339,Brisbane,Hard,32,250,O,20090104,13,105051,,,Mikhail Kukushkin,R,183,KAZ,21.027,148,395,104595,,,Robert Smeets,L,188,AUS,23.151,208,248,7-5 6-4,3,Q1,96,3,2,72,45,34,14,11,2,3,4,6,82,51,30,12,11,2,6
2009-339,Brisbane,Hard,32,250,O,20090104,14,103602,,,Xavier Malisse,R,185,BEL,28.463,161,375,104028,,,Simon Stadler,L,183,GER,25.462,139,410,6-2 6-1,3,Q1,62,5,1,48,30,24,10,8,0,0,1,2,54,32,16,8,8,4,8
2009-339,Brisbane,Hard,32,250,O,20090104,15,102524,,,Joseph Sirianni,R,178,AUS,33.966,143,485,105154,,,Peter Polansky,R,183,CAN,20.556,211,245,6-2 6-4,3,Q1,78,4,2,58,35,27,12,9,2,3,4,1,64,38,20,10,10,1,5
2009-339,Brisbane,Hard,32,250,O,20090104,16,103554,,,Andrea Stoppini,R,191,ITA,28.849,199,265,104542,,,John Isner,R,208,USA,23.693,144,480,7-5 6-3,3,Q1,92,6,3,75,48,36,15,12,2,3,3,6,84,52,32,14,11,1,4
2009-339,Brisbane,Hard,32,250,O,20090104,17,104547,,,Teymuraz Gabashvili,R,185,GEO,23.619,65,715,105041,,,Sam Groth,R,193,AUS,21.213,275,182,6-2 3-6 6-3,3,Q2,122,10,4,92,55,42,18,17,3,5,4,8,98,60,38,18,15,3,7
2009-339,Brisbane,Hard,32,250,O,20090104,18,104014,,,Bobby Reynolds,R,183,USA,26.47,82,604,104300,,,Luka Gregorc,R,188,SLO,24.89,171,335,6-2 6-4,3,Q2,86,7,2,65,42,32,15,11,1,2,3,5,72,45,26,12,10,1,4
2009-339,Brisbane,Hard,32,250,O,20090104,19,102524,,,Joseph Sirianni,R,178,AUS,33.966,143,485,105023,3,,Mischa Zverev,L,191,GER,21.372,80,610,7-5 6-1,3,Q2,94,5,2,72,45,34,14,11,2,3,4,6,78,48,28,12,11,1,5
2009-339,Brisbane,Hard,32,250,O,20090104,20,103554,,,Andrea Stoppini,R,191,ITA,28.849,199,265,105057,4,,Thomaz Bellucci,L,188,BRA,21.016,85,580,6-3 6-4,3,Q2,88,6,3,68,44,33,15,11,2,3,3,5,75,48,28,12,10,1,4
2009-339,Brisbane,Hard,32,250,O,20090104,21,104162,6,,Gilles Muller,L,193,LUX,25.659,95,532,105051,,,Mikhail Kukushkin,R,183,KAZ,21.027,148,395,7-5 6-7(5) 7-6(4),3,Q2,168,22,5,135,85,65,25,18,3,5,6,10,128,78,52,22,20,4,7
2009-339,Brisbane,Hard,32,250,O,20090104,22,104745,8,,Kevin Anderson,R,203,RSA,22.634,104,510,105062,,,Evgeny Korolev,R,185,KAZ,20.89,113,495,6-4 6-4,3,Q2,96,12,2,78,51,40,16,14,1,2,3,4,84,52,32,15,13,1,4
